db_name,supplied_name
whiskey,whisky
blue curaçao,blue curacao
blue curaçao,orange curacao
triple sec,cointreau
orange liqueur,grand marnier
cream,heavy cream
cream,whipping cream
bénédictine,benedictine
mint,sprig of mint
mint,mint sprig
maraschino cherry,cocktail cherry
pineapple,pineapple wedge
lemon,lemon wedge
lime,lime wedge
orange,orange wedge
olive,olives
straight up,straight
up,straight up
on the rocks,with ice
old fashioned glass,rocks glass
old fashioned glass,lowball glass
old fashioned glass,old-fashioned
old fashioned glass,lowball
old fashioned glass,old fashioned
rocks glass,rocks
on the rocks,iced
straight up,up
